,filename,label
0,/home/me/DVCvsDL/DVC-DataLad/data/raw/train/n03445777/n03445777_15017.JPEG,golf ball
1,/home/me/DVCvsDL/DVC-DataLad/data/raw/train/n03445777/n03445777_3217.JPEG,golf ball
2,/home/me/DVCvsDL/DVC-DataLad/data/raw/train/n03445777/n03445777_3036.JPEG,golf ball
3,/home/me/DVCvsDL/DVC-DataLad/data/raw/train/n03445777/n03445777_2417.JPEG,golf ball
4,/home/me/DVCvsDL/DVC-DataLad/data/raw/train/n03445777/n03445777_5336.JPEG,golf ball
5,/home/me/DVCvsDL/DVC-DataLad/data/raw/train/n03445777/ILSVRC2012_val_00044936.JPEG,golf ball
6,/home/me/DVCvsDL/DVC-DataLad/data/raw/train/n03445777/n03445777_7255.JPEG,golf ball
7,/home/me/DVCvsDL/DVC-DataLad/data/raw/train/n03445777/n03445777_9185.JPEG,golf ball
8,/home/me/DVCvsDL/DVC-DataLad/data/raw/train/n03445777/n03445777_4475.JPEG,golf ball
9,/home/me/DVCvsDL/DVC-DataLad/data/raw/train/n03445777/n03445777_5218.JPEG,golf ball
10,/home/me/DVCvsDL/DVC-DataLad/data/raw/train/n03445777/n03445777_5566.JPEG,golf ball
11,/home/me/DVCvsDL/DVC-DataLad/data/raw/train/n03445777/n03445777_9159.JPEG,golf ball
12,/home/me/DVCvsDL/DVC-DataLad/data/raw/train/n03445777/n03445777_4028.JPEG,golf ball
13,/home/me/DVCvsDL/DVC-DataLad/data/raw/train/n03445777/n03445777_13748.JPEG,golf ball
14,/home/me/DVCvsDL/DVC-DataLad/data/raw/train/n03445777/n03445777_10693.JPEG,golf ball
15,/home/me/DVCvsDL/DVC-DataLad/data/raw/train/n03445777/n03445777_6415.JPEG,golf ball
16,/home/me/DVCvsDL/DVC-DataLad/data/raw/train/n03445777/n03445777_3614.JPEG,golf ball
17,/home/me/DVCvsDL/DVC-DataLad/data/raw/train/n03445777/n03445777_2358.JPEG,golf ball
18,/home/me/DVCvsDL/DVC-DataLad/data/raw/train/n03445777/n03445777_7687.JPEG,golf ball
19,/home/me/DVCvsDL/DVC-DataLad/data/raw/train/n03445777/n03445777_504.JPEG,golf ball
20,/home/me/DVCvsDL/DVC-DataLad/data/raw/train/n03445777/n03445777_13579.JPEG,golf ball
21,/home/me/DVCvsDL/DVC-DataLad/data/raw/train/n03445777/n03445777_4133.JPEG,golf ball
22,/home/me/DVCvsDL/DVC-DataLad/data/raw/train/n03445777/n03445777_5007.JPEG,golf ball
23,/home/me/DVCvsDL/DVC-DataLad/data/raw/train/n03445777/n03445777_306.JPEG,golf ball
24,/home/me/DVCvsDL/DVC-DataLad/data/raw/train/n03445777/n03445777_8546.JPEG,golf ball
25,/home/me/DVCvsDL/DVC-DataLad/data/raw/train/n03445777/n03445777_2039.JPEG,golf ball
26,/home/me/DVCvsDL/DVC-DataLad/data/raw/train/n03445777/n03445777_15113.JPEG,golf ball
27,/home/me/DVCvsDL/DVC-DataLad/data/raw/train/n03445777/n03445777_4087.JPEG,golf ball
28,/home/me/DVCvsDL/DVC-DataLad/data/raw/train/n03445777/n03445777_3817.JPEG,golf ball
29,/home/me/DVCvsDL/DVC-DataLad/data/raw/train/n03445777/n03445777_3296.JPEG,golf ball
30,/home/me/DVCvsDL/DVC-DataLad/data/raw/train/n03445777/n03445777_13736.JPEG,golf ball
31,/home/me/DVCvsDL/DVC-DataLad/data/raw/train/n03445777/n03445777_4366.JPEG,golf ball
32,/home/me/DVCvsDL/DVC-DataLad/data/raw/train/n03445777/n03445777_7767.JPEG,golf ball
33,/home/me/DVCvsDL/DVC-DataLad/data/raw/train/n03445777/n03445777_11236.JPEG,golf ball
34,/home/me/DVCvsDL/DVC-DataLad/data/raw/train/n03445777/ILSVRC2012_val_00031744.JPEG,golf ball
35,/home/me/DVCvsDL/DVC-DataLad/data/raw/train/n03445777/n03445777_11089.JPEG,golf ball
36,/home/me/DVCvsDL/DVC-DataLad/data/raw/train/n03445777/n03445777_5325.JPEG,golf ball
37,/home/me/DVCvsDL/DVC-DataLad/data/raw/train/n03445777/n03445777_8853.JPEG,golf ball
38,/home/me/DVCvsDL/DVC-DataLad/data/raw/train/n03445777/n03445777_9124.JPEG,golf ball
39,/home/me/DVCvsDL/DVC-DataLad/data/raw/train/n03445777/n03445777_2509.JPEG,golf ball
